00:90:5D	NetcomSicher
00:92:FA	WiskyTechnol
00:94:EC	HuaweiDevice
00:99:1D	HuaweiTechno
00:9A:CD	HuaweiTechno
00:9C:C0	vivoMobileCo
00:9E:C8	XiaomiCommun
00:9E:EE	PositivoTecn
00:A0:60	AcerPeripher
00:A0:AF	WmsIndustrie
00:A1:DE	ShiHuaTechno
00:A2:F5	GuangzhouYua
00:A4:5F	HuaweiDevice
00:A6:2B	HighFlyingEl
00:A9:1D	HuaweiTechno
00:AA:3C	OlivettiTele
00:AD:24	DLinkInterna
00:AD:D5	HuaweiDevice
00:AE:F7	DreameTechno
00:B7:8D	NanjingShini
00:B8:10	YichipMicroe
00:B8:B6	MotorolaMobi
00:B9:F6	SuperRichEle
00:BB:1C	HuaweiDevice
00:BD:82	YOUHUATechno
00:BE:3B	HuaweiTechno
00:C0:D7	TaiwanTradin
00:C3:0A	XiaomiCommun
00:C7:11	ItelMobile
00:C8:96	CigShanghai
00:CA:E0	OppoMobileTe
00:CB:B4	AtekoPhotoel
00:CF:C0	ChinaMobileG
00:D0:33	DalianDaxian
00:D0:64	Multitel
00:D0:F8	FujianStarTe
00:D8:A2	HuaweiDevice
00:DD:25	hechengdongT
00:E0:0F	BaudDataComm
00:E0:18	ASUSTekCOMPU
00:E0:20	Tecnomen
00:E0:FC	HuaweiTechno
00:E1:2F	HuaweiTechno
00:E2:2C	ChinaMobileG
00:E4:00	SichuanChang
00:E4:06	HuaweiTechno
00:E5:E4	SichuanTiany
00:E7:E3	zte
00:EC:0A	XiaomiCommun
00:F2:2C	BstarTechnol
00:F5:FD	HuaweiTechno
00:F7:AD	HuaweiTechno
00:F8:1C	HuaweiTechno
00:F9:52	HuaweiTechno
00:FA:DE	MotorolaMobi
02:AA:3C	OlivettiTele
04:01:BB	TecnoMobile
04:02:1F	HuaweiTechno
04:02:CA	Vtsonic
04:03:12	HikvisionDig
04:04:B8	ChinaHualuPa
04:05:DD	CultraviewDi
04:0E:C2	ViewSonicMob
04:0F:66	TPLink
04:10:6B	XiaomiCommun
04:11:19:30/28	SuzhouRibaoT
04:11:19:40/28	BolicomInnov
04:11:19:80/28	YIZHENGTechn
04:14:71	HuaweiTechno
04:18:92	HuaweiTechno
04:1D:C7	zte
04:1F:B8	vivoMobileCo
04:20:84	zte
04:25:C5	HuaweiTechno
04:27:58	HuaweiTechno
04:2B:58	HanzsungTech
04:2D:B4	FirstPropert
04:2F:56	ATOCS
04:33:1F	HuaweiDevice
04:33:89	HuaweiTechno
04:34:C3	QingdaoGoert
04:34:F6	MotorolaMobi
04:38:DC	ChinaUnicomO
04:39:26	ChinaDragonT
04:3C:E8	SuperElectro
04:42:1A	ASUSTekCOMPU
04:43:FD	SichuanTiany
04:46:CF	VenustechCyb
04:49:5D	HuaweiDevice
04:4A:50	RamaxelTechn
04:4A:69	PhatenTech
04:4A:6A	niliwinanjin
04:4A:6C	HuaweiTechno
04:4B:A5	MercuryCommu
04:4B:B1	HuaweiDevice
04:4B:FF	GuangZhouHed
04:4C:EF	FujianSanaoT
04:4F:4C	HuaweiTechno
04:4F:7A	ChinaMobileG
04:50:DA	QikuInternet
04:55:B8	HuaweiTechno
04:56:04	GioneeCommun
04:56:65	NokiaShangha
04:57:91	ShenzhenshiX
04:58:5D:B0/28	JuxunElectro
04:58:5D:E0/28	CDElectronic
04:58:6F	SichuanWhaye
04:5F:A7	YichenTechno
04:63:D0	HuaweiDevice
04:67:61	XiaomiMobile
04:6B:25	SichuanTiany
04:6E:49	TaiYearElect
04:6E:CB	zte
04:71:4B:20/28	WayOSTechnol
04:71:4B:D0/28	BoCloudsTech
04:71:53	SernetTechno
04:74:9E	HuaweiTechno
04:75:03	HuaweiTechno
04:78:63	MXCHIPInform
04:79:70	HuaweiTechno
04:79:75	HonorDevice
04:7A:0B	XiaomiElectr
04:7A:AE	HuaweiDevice
04:7D:50	KangYingTech
04:7E:23	ChinaMobileI
04:80:A7	TianGangMicr
04:88:5F	HuaweiTechno
04:8C:03	ThinPADTechn
04:8C:16	HuaweiTechno
04:8C:9A	HuaweiDevice
04:92:26	ASUSTekCOMPU
04:94:6B	TecnoMobile
04:95:73	zte
04:95:E6	TendaTechnol
04:98:1C	NingboZhixia
04:99:E6	YoostarTechn
04:9F:CA	HuaweiTechno
04:A1:51	Netgear
04:A1:6F:00/28	CDElectronic
04:A1:6F:20/28	SuzhouLiansh
04:A8:1C	HuaweiTechno
04:AA:E1	MicrovisionT
04:AB:08	SkyworthDigi
04:AE:47	XiaomiMobile
04:B0:E7	HuaweiTechno
04:B1:67	XiaomiCommun
04:B5:C1	ItelMobile
04:B6:BE	CigShanghai
04:BA:1C	HuaweiDevice
04:BA:D6	DLink
04:BC:87	JustLinkTech
04:BD:70	HuaweiTechno
04:BE:58	HuaweiTechno
