00:1A:24         	GalaxyTeleco	Galaxy Telecom Technologies Ltd
00:1A:28         	ASWTTaiwanBr	ASWT Co., LTD. Taiwan Branch H.K.
00:1A:34         	KonkaGroup  	Konka Group Co., Ltd.
00:1A:4D         	GigaByteTech	Giga-Byte Technology Co.,Ltd.
00:1A:69         	YangtzeOptic	Wuhan Yangtze Optical Technology CO.,Ltd.
00:1A:6F         	MITEL       	MI.TEL s.r.l.
00:1A:83         	PegasusTechn	Pegasus Technologies Inc.
00:1A:92         	ASUSTekCOMPU	ASUSTek COMPUTER INC.
00:1A:95         	HisenseMobil	Hisense Mobile Communications Technoligy Co.,Ltd.
00:1A:98         	AsotelCommun	Asotel Communication Limited Taiwan Branch
00:1A:9A         	SkyworthDigi	Skyworth Digital Technology(Shenzhen) Co.,Ltd
00:1A:A9         	FujianStarNe	Fujian Star-Net Communication Co.,Ltd
00:1A:E7         	AztekNetwork	Aztek Networks, Inc.
00:1A:EE         	Shenztech   	Shenztech Ltd
00:1B:10         	KangHuiTechn	ShenZhen Kang Hui Technology Co.,ltd
00:1B:11         	DLink       	D-Link Corporation
00:1B:2F         	Netgear     	Netgear
00:1B:43         	DGTelecommun	Beijing DG Telecommunications equipment Co.,Ltd
00:1B:48         	LantechElect	Shenzhen Lantech Electronics Co., Ltd.
00:1B:65         	ChinaGridcom	China Gridcom Co., Ltd
00:1B:82         	TaiwanSemico	Taiwan Semiconductor Co., Ltd.
00:1B:C5:07:10/36	CenterforECo	Center for E-Commerce Infrastructure Development, The University of Hong Kong
00:1B:C5:09:A0/36	GuangLianZhi	Shenzhen Guang Lian Zhi Tong Limited
00:1B:C5:0A:10/36	ZhipingTechn	Hangzhou Zhiping Technology Co., Ltd.
00:1B:CA         	RunTechnolog	Beijing Run Technology LTD. Company
00:1B:F1         	NanjingSilve	Nanjing SilverNet Software Co., Ltd.
00:1B:FC         	ASUSTekCOMPU	ASUSTek COMPUTER INC.
00:1C:06         	SiemensNumer	Siemens Numerical Control Ltd., Nanjing
00:1C:0A         	AEETechnolog	Shenzhen AEE Technology Co.,Ltd.
00:1C:47         	HollysysAuto	Hangzhou Hollysys Automation Co., Ltd
00:1C:50         	TCLTechnolyE	TCL Technoly Electronics (Huizhou) Co., Ltd.
00:1C:55         	KaifaTechnol	Shenzhen Kaifa Technology Co.
00:1C:61         	GalaxyMicros	Galaxy Microsystems LImited
00:1C:68         	AnhuiSunCrea	Anhui Sun Create Electronics Co., Ltd
00:1C:AD         	Telecommunic	Wuhan Telecommunication Devices Co.,Ltd
00:1C:CA         	GaozhiScienc	Shanghai Gaozhi Science & Technology Development Co.
00:1C:D2         	KingChampion	King Champion (Hong Kong) Limited
00:1C:E9         	GalaxyTechno	Galaxy Technology Limited
00:1C:F0         	DLink       	D-Link Corporation
00:1D:07         	SangFeiConsu	Shenzhen Sang Fei Consumer Communications Co.,Ltd
00:1D:08         	JiangsuYinhe	Jiangsu Yinhe Electronics Co.,Ltd.
00:1D:0F         	TpLinkTechno	Tp-Link Technologies Co.,Ltd.
00:1D:15         	DolphinElect	Shenzhen Dolphin Electronic Co., Ltd
00:1D:2A         	BulTech     	Shenzhen Bul-Tech Co.,Ltd.
00:1D:2B         	PontTechnolo	Wuhan Pont Technology CO. , LTD
00:1D:32         	LongkayCommu	Longkay Communication & Technology (Shanghai) Co. Ltd
00:1D:43         	GlinkDigital	Shenzhen G-link Digital Technology Co., Ltd.
00:1D:60         	ASUSTekCOMPU	ASUSTek COMPUTER INC.
00:1D:66         	HyundaiTelec	Hyundai Telecom
